epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
27,162.085,0.83547,1.05852,1.09115,0.12697,0.935,0.71102,0.58939,0.68994,2.47329,0.93933,0.000514312,0.000514312,0.000514312
28,168.571,0.62932,0.85857,0.93086,0.12697,0.935,0.71102,0.58939,0.68994,2.47329,0.93933,0.00051194,0.00051194,0.00051194
29,175.394,0.6681,0.87286,0.93545,0.86444,0.615,0.74445,0.62683,0.65927,2.40649,0.92274,0.000507984,0.000507984,0.000507984
30,182.26,0.78837,1.00842,1.05072,0.98104,0.38818,0.78477,0.67147,0.59199,2.28865,0.88542,0.000502444,0.000502444,0.000502444
31,188.673,0.66862,0.78559,0.93119,0.98104,0.38818,0.78477,0.67147,0.59199,2.28865,0.88542,0.00049532,0.00049532,0.00049532
32,194.826,0.63531,0.87733,0.96023,0.95519,0.53295,0.82129,0.71726,0.54624,2.11081,0.86042,0.000486612,0.000486612,0.000486612
33,201.263,0.63494,0.78282,0.94749,0.92137,0.7325,0.85763,0.75433,0.53614,1.84833,0.84834,0.00047632,0.00047632,0.00047632
34,207.503,0.58926,0.85703,0.956,0.92137,0.7325,0.85763,0.75433,0.53614,1.84833,0.84834,0.000464444,0.000464444,0.000464444
35,213.776,0.5861,0.86131,0.93693,0.89424,0.80327,0.89283,0.79345,0.52174,1.57429,0.8425,0.000450984,0.000450984,0.000450984
36,220.211,0.8575,1.76991,1.16014,0.8959,0.8225,0.91242,0.81045,0.50404,1.40352,0.83765,0.00043594,0.00043594,0.00043594
37,227.029,0.64214,0.77424,0.90451,0.8959,0.8225,0.91242,0.81045,0.50404,1.40352,0.83765,0.000419312,0.000419312,0.000419312
38,233.888,0.56349,0.77686,0.92415,0.89058,0.85458,0.92688,0.82486,0.49297,1.27371,0.83509,0.0004011,0.0004011,0.0004011
39,239.736,0.57466,0.76447,0.94968,0.88952,0.885,0.93786,0.83628,0.49295,1.20843,0.83472,0.000381304,0.000381304,0.000381304
40,245.521,0.54007,0.69726,0.92402,0.88952,0.885,0.93786,0.83628,0.49295,1.20843,0.83472,0.000359924,0.000359924,0.000359924
41,251.597,0.50957,0.71123,0.8948,0.89414,0.88689,0.94158,0.83992,0.47768,1.13082,0.8319,0.00033696,0.00033696,0.00033696
42,257.744,0.52771,0.62527,0.88144,0.86973,0.9025,0.94065,0.84614,0.46028,1.06975,0.82681,0.000312412,0.000312412,0.000312412
43,263.654,0.46084,0.63318,0.86226,0.86973,0.9025,0.94065,0.84614,0.46028,1.06975,0.82681,0.00028628,0.00028628,0.00028628
44,269.495,0.4711,0.64262,0.85105,0.86932,0.9025,0.94469,0.84924,0.45483,0.98819,0.82554,0.000258564,0.000258564,0.000258564
45,275.594,0.50531,0.67644,0.89479,0.86932,0.9025,0.94469,0.84924,0.45483,0.98819,0.82554,0.000229264,0.000229264,0.000229264
46,281.494,0.53889,0.8412,0.91494,0.87336,0.9125,0.94954,0.85446,0.4485,0.94659,0.82486,0.00019838,0.00019838,0.00019838
47,287.075,0.49035,0.62601,0.86484,0.87336,0.9125,0.94954,0.85446,0.4485,0.94659,0.82486,0.000165912,0.000165912,0.000165912
48,292.683,0.48666,0.67943,0.86949,0.86483,0.92772,0.95455,0.86074,0.44351,0.89762,0.82528,0.00013186,0.00013186,0.00013186
49,298.062,0.47687,0.65486,0.87545,0.86483,0.92772,0.95455,0.86074,0.44351,0.89762,0.82528,9.6224e-05,9.6224e-05,9.6224e-05
50,303.278,0.46655,0.60287,0.87386,0.87088,0.92741,0.96208,0.87035,0.43561,0.85975,0.82488,5.9004e-05,5.9004e-05,5.9004e-05
1,63.914,1.06147,3.14673,1.22386,0.06888,0.98156,0.15922,0.10974,0.77343,2.90238,0.95424,0.00018,0.00018,0.00018
2,114.878,0.76859,2.28993,0.97536,0.06967,0.99281,0.60022,0.44019,0.70279,2.59314,0.88564,0.000372476,0.000372476,0.000372476
3,165.359,0.78111,1.59044,0.98601,0.06978,0.99438,0.41353,0.2827,0.79176,2.55351,0.95395,0.000557032,0.000557032,0.000557032
4,219.573,0.74056,1.16484,0.95516,0.06831,0.97344,0.60349,0.46439,1.01618,2.73357,1.17426,0.000733668,0.000733668,0.000733668
5,272.962,0.69753,0.87167,0.95943,0.06393,0.91094,0.39926,0.33057,1.04828,2.90537,1.29541,0.000902384,0.000902384,0.000902384
6,327.421,0.69347,0.8148,0.94923,0.9491,0.76912,0.91452,0.76957,0.70528,1.86753,0.95903,0.00106318,0.00106318,0.00106318
7,383.91,0.64807,0.76154,0.94146,0.9104,0.88875,0.94594,0.79232,0.66481,1.32319,0.90965,0.00121606,0.00121606,0.00121606
8,437.862,0.62108,0.7305,0.93377,0.83157,0.8425,0.90448,0.76612,0.61762,1.24464,0.90193,0.00136101,0.00136101,0.00136101
9,490.801,0.60805,0.70045,0.92255,0.92188,0.92189,0.96876,0.85227,0.56765,0.96265,0.88447,0.00149805,0.00149805,0.00149805
10,543.273,0.59768,0.64541,0.90937,0.92375,0.9,0.96708,0.85703,0.53251,0.88865,0.86074,0.00162716,0.00162716,0.00162716
11,594.624,0.58773,0.65108,0.91782,0.92938,0.90889,0.97067,0.86277,0.53424,0.80982,0.87306,0.001604,0.001604,0.001604
12,646.447,0.55961,0.61741,0.90175,0.94324,0.92963,0.97874,0.88342,0.50293,0.73573,0.85634,0.0015644,0.0015644,0.0015644
13,696.484,0.55346,0.6313,0.89714,0.92221,0.95469,0.97831,0.86724,0.53465,0.73218,0.8538,0.0015248,0.0015248,0.0015248
14,747.23,0.57144,0.59722,0.90296,0.9361,0.96781,0.98101,0.88268,0.52167,0.71957,0.8591,0.0014852,0.0014852,0.0014852
15,798.662,0.55712,0.58474,0.8954,0.93454,0.95156,0.97626,0.87637,0.49131,0.77362,0.8572,0.0014456,0.0014456,0.0014456
16,853.731,0.54868,0.58295,0.89779,0.94206,0.96688,0.98607,0.87555,0.5197,0.65063,0.8602,0.001406,0.001406,0.001406
17,916.271,0.56163,0.57457,0.89387,0.95109,0.96625,0.98845,0.88417,0.49809,0.61428,0.85192,0.0013664,0.0013664,0.0013664
18,972.037,0.55733,0.58417,0.89834,0.91738,0.95937,0.97185,0.87727,0.45627,0.70998,0.83414,0.0013268,0.0013268,0.0013268
19,1032.67,0.54462,0.5737,0.89535,0.93954,0.97123,0.9843,0.89352,0.45729,0.63433,0.83425,0.0012872,0.0012872,0.0012872
20,1088.06,0.52386,0.54152,0.88845,0.95494,0.97345,0.98925,0.90259,0.45932,0.58462,0.83335,0.0012476,0.0012476,0.0012476
21,1146.41,0.53683,0.5345,0.89187,0.95505,0.97595,0.98879,0.90576,0.43687,0.5659,0.82931,0.001208,0.001208,0.001208
22,1208.82,0.53084,0.53849,0.89408,0.9547,0.9625,0.98593,0.90975,0.4393,0.61646,0.83281,0.0011684,0.0011684,0.0011684
23,1264.55,0.51729,0.52033,0.88739,0.95137,0.96601,0.98614,0.9018,0.45106,0.64081,0.83858,0.0011288,0.0011288,0.0011288
24,1317.92,0.53215,0.54214,0.9035,0.97733,0.97562,0.99216,0.90928,0.43249,0.49993,0.82665,0.0010892,0.0010892,0.0010892
25,1372.1,0.51377,0.5526,0.88862,0.97654,0.97569,0.99261,0.92443,0.40365,0.51807,0.82155,0.0010496,0.0010496,0.0010496
26,1425.55,0.47671,0.50313,0.87368,0.96095,0.9725,0.98626,0.91796,0.40457,0.50848,0.82246,0.00101,0.00101,0.00101
27,1478.44,0.51246,0.50626,0.88342,0.96228,0.97259,0.98653,0.91126,0.42492,0.51956,0.82665,0.0009704,0.0009704,0.0009704
28,1536.02,0.49424,0.48195,0.88079,0.96943,0.98107,0.99101,0.92177,0.40999,0.49106,0.82493,0.0009308,0.0009308,0.0009308
29,1592.34,0.47879,0.47418,0.87034,0.97425,0.97844,0.9915,0.91809,0.41955,0.50315,0.8275,0.0008912,0.0008912,0.0008912
30,1645.33,0.48677,0.48319,0.86888,0.97338,0.98273,0.9926,0.92781,0.39602,0.45859,0.81565,0.0008516,0.0008516,0.0008516
31,1700.79,0.46325,0.45991,0.8641,0.97789,0.98134,0.99332,0.92712,0.38304,0.44146,0.81055,0.000812,0.000812,0.000812
32,1753.49,0.48268,0.46654,0.87677,0.98664,0.9875,0.99403,0.93467,0.37883,0.4332,0.8104,0.0007724,0.0007724,0.0007724
33,1804.21,0.47907,0.47071,0.87031,0.99079,0.99187,0.99422,0.9327,0.37716,0.41592,0.80947,0.0007328,0.0007328,0.0007328
34,1856.17,0.44918,0.44366,0.85993,0.98857,0.98938,0.99376,0.93087,0.37195,0.40473,0.80767,0.0006932,0.0006932,0.0006932
35,1906.97,0.47599,0.45705,0.86803,0.98173,0.99046,0.99285,0.92877,0.37707,0.41348,0.80897,0.0006536,0.0006536,0.0006536
36,1977.69,0.45966,0.44697,0.86755,0.98964,0.99375,0.99403,0.93267,0.3652,0.39474,0.80839,0.000614,0.000614,0.000614
37,2035.18,0.45853,0.43266,0.86684,0.98911,0.99375,0.99451,0.94021,0.36663,0.38614,0.80636,0.0005744,0.0005744,0.0005744
38,2088.77,0.45687,0.44246,0.86621,0.98507,0.99406,0.99426,0.94136,0.36256,0.38542,0.80395,0.0005348,0.0005348,0.0005348
39,2135.62,0.45312,0.44369,0.8642,0.98546,0.99625,0.99429,0.94122,0.35638,0.3778,0.80277,0.0004952,0.0004952,0.0004952
40,2184.25,0.44238,0.41388,0.85924,0.98668,0.99553,0.99438,0.93343,0.3742,0.37697,0.80436,0.0004556,0.0004556,0.0004556
41,2235.8,0.40897,0.44116,0.83835,0.98392,0.99344,0.99445,0.94168,0.35,0.39105,0.79978,0.000416,0.000416,0.000416
42,2295.66,0.40261,0.41658,0.83739,0.96815,0.99156,0.99329,0.94249,0.33676,0.41612,0.79711,0.0003764,0.0003764,0.0003764
43,2355.85,0.37769,0.40918,0.82661,0.97626,0.99438,0.99351,0.93878,0.35245,0.39959,0.79818,0.0003368,0.0003368,0.0003368
44,2403.75,0.38342,0.40503,0.82825,0.98291,0.99406,0.99301,0.94565,0.33117,0.37578,0.79571,0.0002972,0.0002972,0.0002972
45,2461.53,0.37614,0.39112,0.82195,0.98541,0.99222,0.99262,0.94612,0.33009,0.38054,0.79463,0.0002576,0.0002576,0.0002576
46,2518.09,0.38638,0.40078,0.82473,0.98483,0.99441,0.99397,0.94736,0.32606,0.3707,0.79311,0.000218,0.000218,0.000218
47,2570.96,0.37771,0.38609,0.8283,0.98945,0.99629,0.99448,0.94994,0.31816,0.35039,0.79206,0.0001784,0.0001784,0.0001784
48,2624,0.37498,0.37983,0.82636,0.99595,0.99807,0.99463,0.95222,0.31408,0.33654,0.79119,0.0001388,0.0001388,0.0001388
49,2677.38,0.36733,0.3749,0.82276,0.99595,0.99817,0.99466,0.95314,0.31132,0.33383,0.79116,9.92e-05,9.92e-05,9.92e-05
50,2730.17,0.36949,0.38682,0.83355,0.99564,0.99855,0.99472,0.95399,0.30889,0.33181,0.79121,5.96e-05,5.96e-05,5.96e-05
1,58.9205,1.06147,3.14673,1.22386,0.06888,0.98156,0.1593,0.11015,0.77075,2.89997,0.95242,0.00018,0.00018,0.00018
2,105.028,0.76859,2.28993,0.97536,0.06969,0.99313,0.59824,0.4381,0.70462,2.58742,0.88598,0.000372476,0.000372476,0.000372476
3,150.071,0.78111,1.59044,0.98601,0.06976,0.99406,0.41354,0.28312,0.79177,2.54353,0.95331,0.000557032,0.000557032,0.000557032
4,205.071,0.74056,1.16484,0.95516,0.06829,0.97313,0.63064,0.48644,1.01997,2.72289,1.17693,0.000733668,0.000733668,0.000733668
5,254.013,0.69753,0.87167,0.95943,0.0639,0.91063,0.41305,0.34248,1.05091,2.89968,1.29754,0.000902384,0.000902384,0.000902384
6,309.592,0.69347,0.8148,0.94923,0.94742,0.78269,0.91737,0.77296,0.706,1.83971,0.96005,0.00106318,0.00106318,0.00106318
7,360.858,0.64807,0.76154,0.94146,0.9128,0.89,0.94759,0.79405,0.66476,1.29679,0.9101,0.00121606,0.00121606,0.00121606
8,412.614,0.62108,0.7305,0.93377,0.83202,0.84822,0.90636,0.76773,0.61758,1.22598,0.90207,0.00136101,0.00136101,0.00136101
9,468.711,0.60805,0.70045,0.92255,0.92252,0.92281,0.9693,0.85271,0.56729,0.95089,0.88438,0.00149805,0.00149805,0.00149805
10,518.687,0.59768,0.64541,0.90937,0.92264,0.90189,0.96784,0.85759,0.53222,0.87985,0.86083,0.00162716,0.00162716,0.00162716
11,565.296,0.58773,0.65108,0.91782,0.93026,0.91031,0.97124,0.86342,0.53395,0.80324,0.87305,0.001604,0.001604,0.001604
12,612.095,0.55961,0.61741,0.90175,0.94416,0.9299,0.97891,0.88348,0.50277,0.73218,0.85637,0.0015644,0.0015644,0.0015644
13,664.298,0.55346,0.6313,0.89714,0.92381,0.95481,0.97846,0.86743,0.53454,0.73146,0.85386,0.0015248,0.0015248,0.0015248
14,711.636,0.57144,0.59722,0.90296,0.93625,0.96831,0.98111,0.88276,0.52158,0.72074,0.85914,0.0014852,0.0014852,0.0014852
15,757.83,0.55712,0.58474,0.8954,0.93648,0.94909,0.97629,0.87649,0.49122,0.77551,0.85719,0.0014456,0.0014456,0.0014456
16,804.175,0.54868,0.58295,0.89779,0.94214,0.96688,0.98609,0.87559,0.51964,0.64982,0.86022,0.001406,0.001406,0.001406
17,857.254,0.56163,0.57457,0.89387,0.9512,0.96625,0.98846,0.88417,0.49805,0.61374,0.85195,0.0013664,0.0013664,0.0013664
18,903.251,0.55733,0.58417,0.89834,0.91788,0.95937,0.97191,0.87733,0.45626,0.71001,0.83417,0.0013268,0.0013268,0.0013268
19,948.519,0.54462,0.5737,0.89535,0.93954,0.97126,0.98433,0.89357,0.45726,0.63448,0.83424,0.0012872,0.0012872,0.0012872
