epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,205.458,0.78837,1.00842,1.05072,0.98104,0.38818,0.78477,0.67147,0.59199,2.28865,0.88542,0.000502444,0.000502444,0.000502444
31,212.425,0.66862,0.78559,0.93119,0.98104,0.38818,0.78477,0.67147,0.59199,2.28865,0.88542,0.00049532,0.00049532,0.00049532
32,219.177,0.63531,0.87733,0.96023,0.95519,0.53295,0.82129,0.71726,0.54624,2.11081,0.86042,0.000486612,0.000486612,0.000486612
33,226.031,0.63494,0.78282,0.94749,0.92137,0.7325,0.85763,0.75433,0.53614,1.84833,0.84834,0.00047632,0.00047632,0.00047632
34,232.746,0.58926,0.85703,0.956,0.92137,0.7325,0.85763,0.75433,0.53614,1.84833,0.84834,0.000464444,0.000464444,0.000464444
35,239.627,0.5861,0.86131,0.93693,0.89424,0.80327,0.89283,0.79345,0.52174,1.57429,0.8425,0.000450984,0.000450984,0.000450984
36,246.326,0.8575,1.76991,1.16014,0.8959,0.8225,0.91242,0.81045,0.50404,1.40352,0.83765,0.00043594,0.00043594,0.00043594
37,253.354,0.64214,0.77424,0.90451,0.8959,0.8225,0.91242,0.81045,0.50404,1.40352,0.83765,0.000419312,0.000419312,0.000419312
38,260.469,0.56349,0.77686,0.92415,0.89058,0.85458,0.92688,0.82486,0.49297,1.27371,0.83509,0.0004011,0.0004011,0.0004011
39,267.095,0.57466,0.76447,0.94968,0.88952,0.885,0.93786,0.83628,0.49295,1.20843,0.83472,0.000381304,0.000381304,0.000381304
40,273.735,0.54007,0.69726,0.92402,0.88952,0.885,0.93786,0.83628,0.49295,1.20843,0.83472,0.000359924,0.000359924,0.000359924
41,280.608,0.50957,0.71123,0.8948,0.89414,0.88689,0.94158,0.83992,0.47768,1.13082,0.8319,0.00033696,0.00033696,0.00033696
42,287.522,0.52771,0.62527,0.88144,0.86973,0.9025,0.94065,0.84614,0.46028,1.06975,0.82681,0.000312412,0.000312412,0.000312412
43,294.152,0.46084,0.63318,0.86226,0.86973,0.9025,0.94065,0.84614,0.46028,1.06975,0.82681,0.00028628,0.00028628,0.00028628
44,300.895,0.4711,0.64262,0.85105,0.86932,0.9025,0.94469,0.84924,0.45483,0.98819,0.82554,0.000258564,0.000258564,0.000258564
45,307.484,0.50531,0.67644,0.89479,0.86932,0.9025,0.94469,0.84924,0.45483,0.98819,0.82554,0.000229264,0.000229264,0.000229264
46,314.15,0.53889,0.8412,0.91494,0.87336,0.9125,0.94954,0.85446,0.4485,0.94659,0.82486,0.00019838,0.00019838,0.00019838
47,320.895,0.49035,0.62601,0.86484,0.87336,0.9125,0.94954,0.85446,0.4485,0.94659,0.82486,0.000165912,0.000165912,0.000165912
48,327.555,0.48666,0.67943,0.86949,0.86483,0.92772,0.95455,0.86074,0.44351,0.89762,0.82528,0.00013186,0.00013186,0.00013186
49,334.184,0.47687,0.65486,0.87545,0.86483,0.92772,0.95455,0.86074,0.44351,0.89762,0.82528,9.6224e-05,9.6224e-05,9.6224e-05
50,340.777,0.46655,0.60287,0.87386,0.87088,0.92741,0.96208,0.87035,0.43561,0.85975,0.82488,5.9004e-05,5.9004e-05,5.9004e-05
