epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
12,714.366,0.55961,0.61741,0.90175,0.94324,0.92963,0.97874,0.88342,0.50293,0.73573,0.85634,0.0015644,0.0015644,0.0015644
13,771.262,0.55346,0.6313,0.89714,0.92221,0.95469,0.97831,0.86724,0.53465,0.73218,0.8538,0.0015248,0.0015248,0.0015248
14,829.269,0.57144,0.59722,0.90296,0.9361,0.96781,0.98101,0.88268,0.52167,0.71957,0.8591,0.0014852,0.0014852,0.0014852
15,888.398,0.55712,0.58474,0.8954,0.93454,0.95156,0.97626,0.87637,0.49131,0.77362,0.8572,0.0014456,0.0014456,0.0014456
16,946.717,0.54868,0.58295,0.89779,0.94206,0.96688,0.98607,0.87555,0.5197,0.65063,0.8602,0.001406,0.001406,0.001406
17,1005.45,0.56163,0.57457,0.89387,0.95109,0.96625,0.98845,0.88417,0.49809,0.61428,0.85192,0.0013664,0.0013664,0.0013664
18,1063.55,0.55733,0.58417,0.89834,0.91738,0.95937,0.97185,0.87727,0.45627,0.70998,0.83414,0.0013268,0.0013268,0.0013268
19,1121.26,0.54462,0.5737,0.89535,0.93954,0.97123,0.9843,0.89352,0.45729,0.63433,0.83425,0.0012872,0.0012872,0.0012872
20,1182.3,0.52386,0.54152,0.88845,0.95494,0.97345,0.98925,0.90259,0.45932,0.58462,0.83335,0.0012476,0.0012476,0.0012476
21,1242.67,0.53683,0.5345,0.89187,0.95505,0.97595,0.98879,0.90576,0.43687,0.5659,0.82931,0.001208,0.001208,0.001208
22,1299.16,0.53084,0.53849,0.89408,0.9547,0.9625,0.98593,0.90975,0.4393,0.61646,0.83281,0.0011684,0.0011684,0.0011684
23,1354.92,0.51729,0.52033,0.88739,0.95137,0.96601,0.98614,0.9018,0.45106,0.64081,0.83858,0.0011288,0.0011288,0.0011288
24,1411.21,0.53215,0.54214,0.9035,0.97733,0.97562,0.99216,0.90928,0.43249,0.49993,0.82665,0.0010892,0.0010892,0.0010892
25,1467.71,0.51377,0.5526,0.88862,0.97654,0.97569,0.99261,0.92443,0.40365,0.51807,0.82155,0.0010496,0.0010496,0.0010496
26,1525.92,0.47671,0.50313,0.87368,0.96095,0.9725,0.98626,0.91796,0.40457,0.50848,0.82246,0.00101,0.00101,0.00101
27,1584.1,0.51246,0.50626,0.88342,0.96228,0.97259,0.98653,0.91126,0.42492,0.51956,0.82665,0.0009704,0.0009704,0.0009704
28,1642.51,0.49424,0.48195,0.88079,0.96943,0.98107,0.99101,0.92177,0.40999,0.49106,0.82493,0.0009308,0.0009308,0.0009308
29,1702.68,0.47879,0.47418,0.87034,0.97425,0.97844,0.9915,0.91809,0.41955,0.50315,0.8275,0.0008912,0.0008912,0.0008912
30,1760.18,0.48677,0.48319,0.86888,0.97338,0.98273,0.9926,0.92781,0.39602,0.45859,0.81565,0.0008516,0.0008516,0.0008516
31,1818.45,0.46325,0.45991,0.8641,0.97789,0.98134,0.99332,0.92712,0.38304,0.44146,0.81055,0.000812,0.000812,0.000812
32,1875.52,0.48268,0.46654,0.87677,0.98664,0.9875,0.99403,0.93467,0.37883,0.4332,0.8104,0.0007724,0.0007724,0.0007724
33,1933.46,0.47907,0.47071,0.87031,0.99079,0.99187,0.99422,0.9327,0.37716,0.41592,0.80947,0.0007328,0.0007328,0.0007328
34,1991.48,0.44918,0.44366,0.85993,0.98857,0.98938,0.99376,0.93087,0.37195,0.40473,0.80767,0.0006932,0.0006932,0.0006932
35,2050.53,0.47599,0.45705,0.86803,0.98173,0.99046,0.99285,0.92877,0.37707,0.41348,0.80897,0.0006536,0.0006536,0.0006536
36,2109.19,0.45966,0.44697,0.86755,0.98964,0.99375,0.99403,0.93267,0.3652,0.39474,0.80839,0.000614,0.000614,0.000614
37,2166.66,0.45853,0.43266,0.86684,0.98911,0.99375,0.99451,0.94021,0.36663,0.38614,0.80636,0.0005744,0.0005744,0.0005744
38,2225.5,0.45687,0.44246,0.86621,0.98507,0.99406,0.99426,0.94136,0.36256,0.38542,0.80395,0.0005348,0.0005348,0.0005348
39,2284.58,0.45312,0.44369,0.8642,0.98546,0.99625,0.99429,0.94122,0.35638,0.3778,0.80277,0.0004952,0.0004952,0.0004952
40,2343.33,0.44238,0.41388,0.85924,0.98668,0.99553,0.99438,0.93343,0.3742,0.37697,0.80436,0.0004556,0.0004556,0.0004556
41,2401.57,0.40897,0.44116,0.83835,0.98392,0.99344,0.99445,0.94168,0.35,0.39105,0.79978,0.000416,0.000416,0.000416
42,2462.88,0.40261,0.41658,0.83739,0.96815,0.99156,0.99329,0.94249,0.33676,0.41612,0.79711,0.0003764,0.0003764,0.0003764
43,2519.72,0.37769,0.40918,0.82661,0.97626,0.99438,0.99351,0.93878,0.35245,0.39959,0.79818,0.0003368,0.0003368,0.0003368
44,2576.24,0.38342,0.40503,0.82825,0.98291,0.99406,0.99301,0.94565,0.33117,0.37578,0.79571,0.0002972,0.0002972,0.0002972
45,2634.15,0.37614,0.39112,0.82195,0.98541,0.99222,0.99262,0.94612,0.33009,0.38054,0.79463,0.0002576,0.0002576,0.0002576
46,2688.9,0.38638,0.40078,0.82473,0.98483,0.99441,0.99397,0.94736,0.32606,0.3707,0.79311,0.000218,0.000218,0.000218
47,2743.65,0.37771,0.38609,0.8283,0.98945,0.99629,0.99448,0.94994,0.31816,0.35039,0.79206,0.0001784,0.0001784,0.0001784
48,2799.03,0.37498,0.37983,0.82636,0.99595,0.99807,0.99463,0.95222,0.31408,0.33654,0.79119,0.0001388,0.0001388,0.0001388
49,2854.21,0.36733,0.3749,0.82276,0.99595,0.99817,0.99466,0.95314,0.31132,0.33383,0.79116,9.92e-05,9.92e-05,9.92e-05
50,2910.02,0.36949,0.38682,0.83355,0.99564,0.99855,0.99472,0.95399,0.30889,0.33181,0.79121,5.96e-05,5.96e-05,5.96e-05
1,79.0366,1.51215,3.3592,1.49855,0.01561,0.2225,0.01041,0.00437,1.16756,3.53324,1.66568,2e-05,2e-05,2e-05
2,133.209,1.2958,3.32183,1.45001,0.02439,0.3475,0.01724,0.00955,1.10008,3.40928,1.45127,5.8812e-05,5.8812e-05,5.8812e-05
3,193.921,1.37236,3.29267,1.33036,0.04807,0.685,0.04974,0.03131,0.9949,3.15604,1.17409,9.604e-05,9.604e-05,9.604e-05
4,260.028,0.94957,3.04023,1.07841,0.06456,0.92,0.09798,0.06599,0.89837,2.98635,1.00882,0.000131684,0.000131684,0.000131684
5,328.117,1.05168,2.94198,1.10331,0.06789,0.9675,0.11175,0.07314,0.8825,2.8952,0.97544,0.000165744,0.000165744,0.000165744
6,387.744,0.99605,2.83776,1.10399,0.06754,0.9625,0.15989,0.10929,0.81565,2.85119,0.93616,0.00019822,0.00019822,0.00019822
7,449.244,0.84604,2.59603,1.02686,0.06807,0.97,0.20486,0.13837,0.74861,2.83896,0.91758,0.000229112,0.000229112,0.000229112
8,502.195,0.96017,2.45038,1.11086,0.0693,0.9875,0.32466,0.20809,0.74549,2.78836,0.90738,0.00025842,0.00025842,0.00025842
9,580.633,0.90692,2.22244,1.09497,0.06947,0.99,0.43363,0.28254,0.74114,2.73544,0.88977,0.000286144,0.000286144,0.000286144
10,653.9,0.90046,2.19064,1.01335,0.06912,0.985,0.53168,0.35275,0.74684,2.68563,0.88055,0.000312284,0.000312284,0.000312284
11,726.316,0.91462,2.25768,1.01026,0.0693,0.9875,0.59495,0.41279,0.69453,2.63766,0.86659,0.00033684,0.00033684,0.00033684
12,798.672,0.98458,2.1493,1.07846,0.06982,0.995,0.62332,0.45755,0.66087,2.60033,0.85833,0.000359812,0.000359812,0.000359812
13,866.135,0.94044,1.84913,1.10228,0.07,0.9975,0.59006,0.43861,0.67706,2.56879,0.86497,0.0003812,0.0003812,0.0003812
14,948.528,1.20349,1.79347,1.16443,0.06982,0.995,0.54029,0.38471,0.68115,2.55399,0.86584,0.000401004,0.000401004,0.000401004
15,1018.95,0.82499,1.66659,1.01094,0.06982,0.995,0.50282,0.35102,0.70068,2.53356,0.87487,0.000419224,0.000419224,0.000419224
16,1083.89,0.85051,1.6101,0.99449,0.06982,0.995,0.48755,0.34444,0.72214,2.50455,0.88231,0.00043586,0.00043586,0.00043586
17,1151.23,1.01164,1.50835,1.11616,0.06982,0.995,0.48443,0.34921,0.69533,2.48492,0.88,0.000450912,0.000450912,0.000450912
18,1187.51,0.71794,1.34969,0.91881,0.06965,0.9925,0.45425,0.33947,0.63963,2.4763,0.86886,0.00046438,0.00046438,0.00046438
19,1198.23,0.75113,1.26874,0.97617,0.06965,0.9925,0.4638,0.36332,0.5986,2.47366,0.85818,0.000476264,0.000476264,0.000476264
20,1209.58,0.91145,1.44366,1.09711,0.06965,0.9925,0.52624,0.40201,0.645,2.47655,0.87381,0.000486564,0.000486564,0.000486564
21,1225.1,0.86501,1.19521,0.96983,0.12908,0.94,0.59774,0.46092,0.68236,2.46891,0.88539,0.00049528,0.00049528,0.00049528
22,1247.7,0.79188,1.25079,1.00487,0.61115,0.7325,0.6432,0.51807,0.65113,2.43794,0.88468,0.000502412,0.000502412,0.000502412
23,1268.22,0.75388,1.16952,0.97788,0.68718,0.72492,0.6652,0.55373,0.59413,2.41965,0.87541,0.00050796,0.00050796,0.00050796
24,1288.62,0.66731,1.04565,0.95141,0.67674,0.735,0.66763,0.56874,0.58752,2.4014,0.87512,0.000511924,0.000511924,0.000511924
25,1307.56,0.70756,0.99977,0.97549,0.75061,0.6975,0.68959,0.58975,0.58715,2.36408,0.87522,0.000514304,0.000514304,0.000514304
26,1324.15,0.72991,0.89309,0.98479,0.77884,0.55466,0.70816,0.615,0.57819,2.30385,0.87209,0.0005151,0.0005151,0.0005151
27,1340.71,0.86748,1.12092,1.0926,0.87983,0.25625,0.74707,0.64118,0.60564,2.23798,0.87333,0.000514312,0.000514312,0.000514312
28,1357.63,0.71692,0.9358,0.963,0.87983,0.25625,0.74707,0.64118,0.60564,2.23798,0.87333,0.00051194,0.00051194,0.00051194
29,1373.58,0.77734,0.93489,0.97534,0.83171,0.34596,0.74756,0.6392,0.59996,2.16793,0.86646,0.000507984,0.000507984,0.000507984
